Rank,Tactic,TID,Technique,Percentage,Reporter,Year,Type,"extracted_Source"
130,"Persistence
Prvilege Escalation","T1547.009","Boot or Logon Autostart Execution: Shortcut Modification","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
74,"Persistence
Prvilege Escalation","T1547.009","Boot or Logon Autostart Execution: Shortcut Modification","0.44","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
5,"Persistence
Prvilege Escalation","T1547.009","Boot or Logon Autostart Execution: Shortcut Modification","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
10,"Persistence
Prvilege Escalation","T1547.006","Boot or Logon Autostart Execution: Kernel Modules and Extensions","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
311,"Persistence
Prvilege Escalation","T1547.006","Boot or Logon Autostart Execution: Kernel Modules and Extensions","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
297,"Persistence
Prvilege Escalation","T1547.004","Boot or Logon Autostart Execution: Winlogon Helper DLL","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
285,"Persistence
Prvilege Escalation","T1547.004","Boot or Logon Autostart Execution: Winlogon Helper DLL","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
279,"Persistence
Prvilege Escalation","T1547.004","Boot or Logon Autostart Execution: Winlogon Helper DLL","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
230,"Persistence
Prvilege Escalation","T1547.004","Boot or Logon Autostart Execution: Winlogon Helper DLL","0.6","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
45,"Persistence
Prvilege Escalation","T1547.004","Boot or Logon Autostart Execution: Winlogon Helper DLL","3.08","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
110,"Persistence
Prvilege Escalation","T1547.002","Boot or Logon Autostart Execution: Winlogon Helper DLL","0.7","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
96,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder","7.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
92,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys/Startup Folder","7.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
91,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder","7.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
50,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys/Startup Folder","7.7","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
5,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder","27.27",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
103,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder","5.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
4,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder","21.43",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
56,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder","4.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
27,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder","5.29","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
1,"Persistence
Prvilege Escalation","T1547.001","Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder","37.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
68,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","9.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
65,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","9.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
64,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","9.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
37,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","10.8","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
8,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
86,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","6.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
56,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","4.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
6,"Persistence
Prvilege Escalation",T1547,"Boot or Logon Autostart Execution","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
10,Persistence,"T1546.016","Event Triggered Execution: Installer Packages","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
352,"Persistence
Prvilege Escalation","T1546.015","Event Triggered Execution: Component Object Model Hijacking","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
327,"Persistence
Prvilege Escalation","T1546.015","Event Triggered Execution: Component Object Model Hijacking","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
318,"Persistence
Prvilege Escalation","T1546.015","Event Triggered Execution: Component Object Model Hijacking","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
311,"Persistence
Prvilege Escalation","T1546.015","Event Triggered Execution: Accesibility Features Component Object Model Hijacking","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
5,"Persistence
Prvilege Escalation","T1546.015","Event Triggered Execution: Component Object Model Hijacking","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
127,"Persistence
Prvilege Escalation","T1546.012","Event Triggered Execution: Image File Execution Options Injection","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
311,"Persistence
Prvilege Escalation","T1546.012","Event Triggered Execution: Accesibility Features Image File Execution Options Injection","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
10,"Persistence
Prvilege Escalation","T1546.011","Event Triggered Execution: Application Shimming","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
91,"Persistence
Prvilege Escalation","T1546.011","Event Triggered Execution: Accesibility Features Application Shimming","1.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
58,"Persistence
Prvilege Escalation","T1546.011","Event Triggered Execution: Accesibility Features Application Shimming","1.76","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
351,"Persistence
Prvilege Escalation","T1546.010","Event Triggered Execution: AppInit DLLs","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
326,"Persistence
Prvilege Escalation","T1546.010","Event Triggered Execution: AppInit DLLs","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
317,"Persistence
Prvilege Escalation","T1546.010","Event Triggered Execution: AppInit DLLs","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
127,"Persistence
Prvilege Escalation","T1546.010","Event Triggered Execution: AppInit DLLs","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
311,"Persistence
Prvilege Escalation","T1546.010","Event Triggered Execution: Accesibility Features Appinit DLLs","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
286,"Persistence
Prvilege Escalation","T1546.008","Event Triggered Execution: Accessibility Features","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
280,"Persistence
Prvilege Escalation","T1546.008","Event Triggered Execution: Accessibility Features","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
93,"Persistence
Prvilege Escalation","T1546.008","Event Triggered Execution: Accessibility Features","1.3","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
199,"Persistence
Prvilege Escalation","T1546.008","Event Triggered Execution: Accesibility Features","0.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
91,"Persistence
Prvilege Escalation","T1546.008","Event Triggered Execution: Accesibility Features","1.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
45,"Persistence
Prvilege Escalation","T1546.008","Event Triggered Execution: Accesibility Features","3.08","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
5,"Persistence
Prvilege Escalation","T1546.008","Event Triggered Execution: Accesibility Features","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
144,"Persistence
Prvilege Escalation","T1546.007","Event Triggered Execution: Netsh Helper DLL","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
280,"Persistence
Prvilege Escalation","T1546.007","Event Triggered Execution: Netsh Helper DLL","0.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
127,"Persistence
Prvilege Escalation","T1546.004","Event Triggered Execution: Unix Shell Configuration Modification","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,"Persistence
Prvilege Escalation","T1546.004","Event Triggered Execution: Unix Shell Configuration Modification","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
144,"Persistence
Prvilege Escalation","T1546.003","Event Triggered Execution: Windows Management Instrumentation Event Subscription","2.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
140,"Persistence
Prvilege Escalation","T1546.003","Event Triggered Execution: Windows Management Instrumentation Event Subscription","2.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
139,"Persistence
Prvilege Escalation","T1546.003","Event Triggered Execution: Windows Management Instrumentation Event Subscription","2.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
78,"Persistence
Prvilege Escalation","T1546.003","Event Triggered Execution: Windows Management Instrumentation Event Subscription","2.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
10,"Persistence
Prvilege Escalation","T1546.003","Event Triggered Execution: Windows Management Instrumentation Event Subscription","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
176,"Persistence
Prvilege Escalation","T1546.003","Event Triggered Execution: Windows Managment Instrumentation Event Subscription","1.4","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
105,"Persistence
Prvilege Escalation","T1546.003","Event Triggered Execution: Windows Managment Instrumentation Event Subscription","0.7","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Persistence
Prvilege Escalation","T1546.003","Event Triggered Execution: Windows Managment Instrumentation Event Subscription","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
127,"Persistence
Prvilege Escalation","T1546.002","Event Triggered Execution: Screensaver","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
311,"Persistence
Prvilege Escalation","T1546.002","Event Triggered Execution: Screensaver","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
144,"Persistence
Prvilege Escalation","T1546.001","Event Triggered Execution: Change Default File Assocation","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
311,"Persistence
Prvilege Escalation","T1546.001","Event Triggered Execution: Change Default File Association","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
5,"Persistence
Prvilege Escalation","T1546.001","Event Triggered Execution: Change Default File Association","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
127,"Persistence
Prvilege Escalation
Prvilege Escalation",T1546,"Event Triggered Execution","3.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
124,"Persistence
Prvilege Escalation
Prvilege Escalation",T1546,"Event Triggered Execution","3.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
123,"Persistence
Prvilege Escalation
Prvilege Escalation",T1546,"Event Triggered Execution","3.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
65,"Persistence
Prvilege Escalation
Prvilege Escalation",T1546,"Event Triggered Execution","4.8","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
149,"Persistence
Prvilege Escalation
Prvilege Escalation",T1546,"Event Triggered Execution","2.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
63,"Persistence
Prvilege Escalation
Prvilege Escalation",T1546,"Event Triggered Execution","3.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
42,"Persistence
Prvilege Escalation","T1543.005","Create or Modify System Process: Scheduled Task","14.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
295,"Persistence
Prvilege Escalation","T1543.004","Create or Modify System Process: Launch Daemon","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
282,"Persistence
Prvilege Escalation","T1543.004","Create or Modify System Process: Launch Daemon","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
274,"Persistence
Prvilege Escalation","T1543.004","Create or Modify System Process: Launch Daemon","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
6,"Persistence
Prvilege Escalation","T1543.004","Create or Modify System Process: Launch Daemon","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
33,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","16.7","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
32,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","16.7","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
31,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","16.7","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
32,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","13.6","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
56,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","12.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
5,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","14.29",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
31,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service",9,"M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
5,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","15.38",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
2,"Persistence
Prvilege Escalation","T1543.003","Create or Modify System Process: Windows Service","31.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
218,"Persistence
Prvilege Escalation","T1543.002","Create or Modify System Process: Systemd Service","0.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
213,"Persistence
Prvilege Escalation","T1543.002","Create or Modify System Process: Systemd Service","0.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
209,"Persistence
Prvilege Escalation","T1543.002","Create or Modify System Process: Systemd Service","0.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
101,"Persistence
Prvilege Escalation","T1543.002","Create or Modify System Process: Systemd Service","0.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
249,"Persistence
Prvilege Escalation","T1543.002","Create or Modify System Process: Systemd Service","0.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
344,"Persistence
Prvilege Escalation","T1543.001","Create or Modify System Process: Launch Agent","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
324,"Persistence
Prvilege Escalation","T1543.001","Create or Modify System Process: Launch Agent","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
309,"Persistence
Prvilege Escalation","T1543.001","Create or Modify System Process: Launch Agent","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
12,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process","28.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
10,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process","28.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
9,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process","28.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
12,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process","24.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
52,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process","13.1","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
8,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process","3.65","CTID Sightings",2022,Private,"https://web.mitre-engenuity.org/hubfs/Center%20for%20Threat%20Informed%20Defense/CTID-Sightings-Ecosystem-Report.pdf"
6,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
3,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process",16,"Red Canary",2021,Private,"https://falksangdata.no/wp-content/uploads/2021/06/RedCanary-2021-Threat-Detection-Report.pdf"
31,"Persistence
Prvilege Escalation",T1543,"Create or Modify System Process",9,"M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
10,"Persistence
Defense Evasion","T1542.004","Pre-OS Boot: ROMMONkit","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
130,"Persistence
Defense Evasion","T1542.003","Pre-OS Boot: Bootkit","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Persistence
Defense Evasion","T1542.003","Pre-OS Boot: Bootkit","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
6,"Persistence
Defense Evasion","T1542.001","Pre-OS Boot: System Firmware","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
144,"Persistence
Defense Evasion",T1542,"Pre-OS Boot","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
130,"Persistence
Defense Evasion",T1542,"Pre-OS Boot","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
242,"Credential Access",T1539,"Steal Web Session Cookie","0.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
231,"Credential Access",T1539,"Steal Web Session Cookie","0.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,"Credential Access",T1539,"Steal Web Session Cookie","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,"Credential Access",T1539,"Steal Web Session Cookie","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a"
210,"Credential Access",T1539,"Steal Web Session Cookie","0.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
130,"Credential Access",T1539,"Steal Web Session Cookie","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
290,Discovery,T1538,"Cloud Service Dashboard","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
101,Discovery,T1538,"Cloud Service Dashboard","0.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
10,Discovery,T1538,"Cloud Service Dashboard","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
311,Discovery,T1538,"Cloud Service Dashboard","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
7,Exfiltration,T1537,"Transfer Data to Cloud Account","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Exfiltration,T1537,"Transfer Data to Cloud Account","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
262,"Lateral Movement",T1534,"Internal Spearphishing","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
101,"Lateral Movement",T1534,"Internal Spearphishing","0.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
249,"Lateral Movement",T1534,"Internal Spearphishing","0.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Lateral Movement",T1534,"Internal Spearphishing","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
6,,T1532,"Data Encrypted","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
179,Impact,T1531,"Account Access Removal","1.7","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
9,Impact,T1531,"Account Access Removal","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
280,Impact,T1531,"Account Access Removal","0.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
97,Impact,T1531,"Account Access Removal",1,"M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
271,Collection,T1530,"Data from Cloud Storage","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
127,Collection,T1530,"Data from Cloud Storage","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
10,Collection,T1530,"Data from Cloud Storage","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
199,Collection,T1530,"Data from Cloud Storage Object","0.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
115,Collection,T1530,"Data from Cloud Storage Object","0.5","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
97,Impact,T1529,"System Shutdown/Reboot","6.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,Impact,T1529,"System Shutdown/Reboot","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
107,Impact,T1529,"System Shutdown/Reboot","4.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
63,Impact,T1529,"System Shutdown/Reboot","3.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Credential Access",T1528,"Steal Application Access Token","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,"Credential Access",T1528,"Steal Application Access Token","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
260,Discovery,T1526,"Cloud Service Discovery","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
311,Discovery,T1526,"Cloud Service Discovery","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
185,Discovery,"T1518.001","Software Discovery: Security Software Discovery","1.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
9,Discovery,"T1518.001","Software Discovery: Security Software Discovery","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a"
280,Discovery,"T1518.001","Software Discovery: Security Software Discovery","0.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,Discovery,"T1518.001","Software Discovery: Security Software Discovery","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
22,Discovery,"T1518.001","Software Discovery: Security Software Discovery","7.49","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
4,Discovery,"T1518.001","Software Discovery: Security Software Discovery","18.75",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
36,Discovery,T1518,"Software Discovery","16.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
29,Discovery,T1518,"Software Discovery","15.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,Discovery,T1518,"Software Discovery","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Discovery,T1518,"Software Discovery","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
31,Discovery,T1518,"Software Discovery","16.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,Discovery,T1518,"Software Discovery","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
6,Discovery,T1518,"Software Discovery","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
312,Persistence,"T1505.004","Server Software Component: IIS Components","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
144,Persistence,"T1505.004","Server Software Component: IIS Components","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
249,Persistence,"T1505.004","Server Software Component: IIS Components","0.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
47,Persistence,"T1505.003","Server Software Component: Web Shell","14.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
36,Persistence,"T1505.003","Server Software Component: Web Shell","11.7","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
