Yr_rank,Overall_rank,TID,Technique,Percentage,Overall_perc,Type,Year,Reporter,Target,Source
3,9,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,25.0,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-266a
3,9,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,25.0,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
6,9,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,7.69,15.91,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
5,9,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,14.2,15.91,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
5,9,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,14.2,15.91,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,15,T1094,Custom Command and Control,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-183a
6,15,T1024,Custom Cryptographic Protocol,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-183a
6,15,T0879,Damage to Property,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
6,15,T0809,Data Destruction,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
5,14,T1132.002,Data Encoding: Non-Standard Encoding,14.2,4.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
5,14,T1132.002,Data Encoding: Non-Standard Encoding,14.2,4.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
3,9,T1132.001,Data Encoding: Standard Encoding,25.0,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
3,9,T1132.001,Data Encoding: Standard Encoding,25.0,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
3,9,T1132.001,Data Encoding: Standard Encoding,25.0,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
3,9,T1132.001,Data Encoding: Standard Encoding,25.0,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
6,9,T1132.001,Data Encoding: Standard Encoding,7.69,15.91,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
5,9,T1132.001,Data Encoding: Standard Encoding,14.2,15.91,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
5,9,T1132.001,Data Encoding: Standard Encoding,14.2,15.91,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,15,T1532,Data Encrypted,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
6,14,T1213.002,Data from Information Repositories: SharePoint,6.25,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,14,T1213.002,Data from Information Repositories: SharePoint,7.14,4.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
5,12,T1005,Data from Local System,12.5,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,12,T1005,Data from Local System,12.5,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,12,T1005,Data from Local System,7.69,9.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
6,12,T1005,Data from Local System,7.14,9.09,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,15,T1039,Data from Network Shared Drive,7.14,2.27,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
6,15,T1025,Data from Removable Media,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T1101,Data Obfuscation,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,15,T1001.001,Data Obfuscation: Junk Data,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T1001.003,Data Obfuscation: Protocol Impersonation,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
6,15,T1074,Data Staged,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
6,14,T1074.001,Data Staged: Local Data Staging,6.25,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1074.001,Data Staged: Local Data Staging,15.3,4.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
5,14,T1074.002,Data Staged: Remote Data Staging,15.3,4.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
6,14,T1074.002,Data Staged: Remote Data Staging,7.14,4.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
6,15,T0812,Default Credentials,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
6,15,T0813,Denial of Control,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
5,14,T0814,Denial of Service,14.2,4.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
5,14,T0814,Denial of Service,14.2,4.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,15,T0815,Denial of View,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
4,7,T1140,Deobfuscate/Decode Files or Information,18.7,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
4,7,T1140,Deobfuscate/Decode Files or Information,18.7,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
4,7,T1140,Deobfuscate/Decode Files or Information,18.7,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
2,7,T1140,Deobfuscate/Decode Files or Information,38.4,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-336a
2,7,T1140,Deobfuscate/Decode Files or Information,38.4,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-265a
2,7,T1140,Deobfuscate/Decode Files or Information,38.4,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-259a
2,7,T1140,Deobfuscate/Decode Files or Information,38.4,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
2,7,T1140,Deobfuscate/Decode Files or Information,38.4,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
6,7,T1140,Deobfuscate/Decode Files or Information,7.14,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
5,14,T0868,Detect Operating Mode,14.2,4.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
5,14,T0868,Detect Operating Mode,14.2,4.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,15,T0816,Device Restart/Shutdown,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
6,15,T1561,Disk Wipe,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-291a
6,15,T1090.004,Domain Fronting,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T1484.001,Domain Policy Modification: Group Policy Modification,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
6,14,T1482,Domain Trust Discovery,7.69,4.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
6,14,T1482,Domain Trust Discovery,7.14,4.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
5,10,T1189,Drive-by Compromise,15.3,13.64,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
6,15,T0817,Drive-by Compromise,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
3,10,T1189,Drive-by Compromise,25.0,13.64,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
3,10,T1189,Drive-by Compromise,25.0,13.64,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
3,10,T1189,Drive-by Compromise,25.0,13.64,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
3,10,T1189,Drive-by Compromise,25.0,13.64,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
5,10,T1189,Drive-by Compromise,15.3,13.64,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
5,14,T1568.002,Dynamic Resolution: Domain Generation Algorithms,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
5,14,T1568.002,Dynamic Resolution: Domain Generation Algorithms,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,12,T1114,Email Collection,12.5,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
5,12,T1114,Email Collection,12.5,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-258a
6,12,T1114,Email Collection,7.69,9.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
6,12,T1114,Email Collection,7.14,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
6,15,T1114.003,Email Collection: Email Forwarding Rule,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
5,14,T1114.001,Email Collection: Local Email Collection,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1114.001,Email Collection: Local Email Collection,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
6,15,T1114.002,Email Collection: Remote Email Collection,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,14,T1573,Encrypted Channel,6.25,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,14,T1573,Encrypted Channel,7.69,4.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
4,12,T1573.002,Encrypted Channel: Asymmetric Cryptography,18.7,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
4,12,T1573.002,Encrypted Channel: Asymmetric Cryptography,18.7,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
4,12,T1573.002,Encrypted Channel: Asymmetric Cryptography,18.7,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-258a
6,12,T1573.002,Encrypted Channel: Asymmetric Cryptography,7.14,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
5,8,T1573.001,Encrypted Channel: Symmetric Cryptography,12.5,18.18,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,8,T1573.001,Encrypted Channel: Symmetric Cryptography,12.5,18.18,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
2,8,T1573.001,Encrypted Channel: Symmetric Cryptography,38.4,18.18,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-336a
2,8,T1573.001,Encrypted Channel: Symmetric Cryptography,38.4,18.18,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-259a
2,8,T1573.001,Encrypted Channel: Symmetric Cryptography,38.4,18.18,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
2,8,T1573.001,Encrypted Channel: Symmetric Cryptography,38.4,18.18,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
5,8,T1573.001,Encrypted Channel: Symmetric Cryptography,14.2,18.18,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-174a
5,8,T1573.001,Encrypted Channel: Symmetric Cryptography,14.2,18.18,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
5,14,T1499,Endpoint Denial of Service,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-198a
5,14,T1499,Endpoint Denial of Service,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-183a
6,15,T0818,Engineering Workstation Compromise,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
5,14,T1546.008,Event Triggered Execution: Accesibility Features,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1546.008,Event Triggered Execution: Accesibility Features,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-266a
5,14,T1546.001,Event Triggered Execution: Change Default File Association,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1546.001,Event Triggered Execution: Change Default File Association,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
5,14,T1546.015,Event Triggered Execution: Component Object Model Hijacking,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1546.015,Event Triggered Execution: Component Object Model Hijacking,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
6,15,T1546.003,Event Triggered Execution: Windows Managment Instrumentation Event Subscription,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T1480,Execution Guardrails,7.14,2.27,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,15,T1480.001,Execution Guardrails: Environmental Keying,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T0871,Execution through API,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,15,T1048,Exfiltration Over Alternative Protocol,7.14,2.27,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-152a
5,14,T1048.003,Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1048.003,Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
3,7,T1041,Exfiltration Over C2 Channel,25.0,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
3,7,T1041,Exfiltration Over C2 Channel,25.0,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
3,7,T1041,Exfiltration Over C2 Channel,25.0,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-266a
3,7,T1041,Exfiltration Over C2 Channel,25.0,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
4,7,T1041,Exfiltration Over C2 Channel,23.0,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
4,7,T1041,Exfiltration Over C2 Channel,23.0,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
4,7,T1041,Exfiltration Over C2 Channel,23.0,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
5,7,T1041,Exfiltration Over C2 Channel,14.2,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
5,7,T1041,Exfiltration Over C2 Channel,14.2,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
6,15,T1567,Exfiltration Over Web Service,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-291a
5,14,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,14.2,4.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
5,14,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,14.2,4.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-152a
1,1,T1190,Exploit Public-Facing Application,37.5,34.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
1,1,T1190,Exploit Public-Facing Application,37.5,34.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-304a
1,1,T1190,Exploit Public-Facing Application,37.5,34.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-296a
1,1,T1190,Exploit Public-Facing Application,37.5,34.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-258a
1,1,T1190,Exploit Public-Facing Application,37.5,34.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
1,1,T1190,Exploit Public-Facing Application,37.5,34.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-183a
4,1,T1190,Exploit Public-Facing Application,23.0,34.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-321a
4,1,T1190,Exploit Public-Facing Application,23.0,34.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
4,1,T1190,Exploit Public-Facing Application,23.0,34.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-131a
1,1,T1190,Exploit Public-Facing Application,42.8,34.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-257a
1,1,T1190,Exploit Public-Facing Application,42.8,34.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-249a
1,1,T1190,Exploit Public-Facing Application,42.8,34.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-223a
1,1,T1190,Exploit Public-Facing Application,42.8,34.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-174a
1,1,T1190,Exploit Public-Facing Application,42.8,34.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-152a
1,1,T1190,Exploit Public-Facing Application,42.8,34.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
5,11,T1203,Exploitation for Client Execution,12.5,11.36,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,11,T1203,Exploitation for Client Execution,12.5,11.36,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,11,T1203,Exploitation for Client Execution,7.69,11.36,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
5,11,T1203,Exploitation for Client Execution,14.2,11.36,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
5,11,T1203,Exploitation for Client Execution,14.2,11.36,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,15,T1212,Exploitation for Credential Access,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
6,15,T1211,Exploitation for Defense Evasion,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T0820,Exploitation for Evasion,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,15,T0890,Exploitation for Privilege Escalation,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,12,T1068,Exploitation for Privilege Escalation,6.25,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
4,12,T1068,Exploitation for Privilege Escalation,21.4,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-249a
4,12,T1068,Exploitation for Privilege Escalation,21.4,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
4,12,T1068,Exploitation for Privilege Escalation,21.4,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-074a
5,12,T1210,Exploitation of Remote Services,12.5,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,12,T1210,Exploitation of Remote Services,12.5,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
5,12,T1210,Exploitation of Remote Services,15.3,9.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-287a
5,12,T1210,Exploitation of Remote Services,15.3,9.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
4,3,T1133,External Remote Services,18.7,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
4,3,T1133,External Remote Services,18.7,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
4,3,T1133,External Remote Services,18.7,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-107a
2,3,T1133,External Remote Services,38.4,29.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-291a
2,3,T1133,External Remote Services,38.4,29.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-265a
2,3,T1133,External Remote Services,38.4,29.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
2,3,T1133,External Remote Services,38.4,29.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
2,3,T1133,External Remote Services,38.4,29.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-131a
2,3,T1133,External Remote Services,42.8,29.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-223a
2,3,T1133,External Remote Services,42.8,29.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-181a
2,3,T1133,External Remote Services,42.8,29.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-152a
2,3,T1133,External Remote Services,42.8,29.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
2,3,T1133,External Remote Services,42.8,29.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
2,10,T1133,External Remote Services,42.8,13.64,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-074a
6,13,T1008,Fallback Channels,6.25,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,13,T1008,Fallback Channels,7.69,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
6,13,T1008,Fallback Channels,7.14,6.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
1,2,T1083,File and Directory Discovery,37.5,31.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
1,2,T1083,File and Directory Discovery,37.5,31.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
1,2,T1083,File and Directory Discovery,37.5,31.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-302a
1,2,T1083,File and Directory Discovery,37.5,31.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
1,2,T1083,File and Directory Discovery,37.5,31.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
1,2,T1083,File and Directory Discovery,37.5,31.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
4,2,T1083,File and Directory Discovery,23.0,31.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-265a
4,2,T1083,File and Directory Discovery,23.0,31.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
4,2,T1083,File and Directory Discovery,23.0,31.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
2,2,T1083,File and Directory Discovery,35.7,31.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
2,2,T1083,File and Directory Discovery,35.7,31.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-152a
2,2,T1083,File and Directory Discovery,35.7,31.82,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
2,2,T1083,File and Directory Discovery,35.7,31.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
2,2,T1083,File and Directory Discovery,35.7,31.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
6,15,T1222.002,File and Directory Permissions Modification: Linux and Mac File and Directory Permissions Modification,7.14,2.27,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
6,14,T1187,Forced Authentication,6.25,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,14,T1187,Forced Authentication,7.14,4.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,15,T1564,Hide Artifacts,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
